Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier,VNOJAC,ContestACRate,ContestPointRate,ZeroRate,ParticipantsAllCount,NormalizedParticipatantsCount,NormACRate,NormPointRate,VNOJOriginal,VNOJAdjusted,JRating
fc060_listgame2,50,52,0,958,1.5,1,0.0000,0.3685,0.504761905,105,90,0.0000,0.2136,0.92,0.92,
fc060_zero,50,52,33,1755,1.5,0,0.6346,0.6750,0.504761905,105,90,0.3680,0.3914,0.49,0.49,
fc062_closest,50,75,41,2533,1.5,10,0.5467,0.6755,0.475524476,143,122,0.3357,0.4148,0.49,0.49,
fc062_connect,50,75,1,320,1.5,2,0.0133,0.0853,0.475524476,143,122,0.0082,0.0524,1.37,1.37,
fc062_delbox,50,75,46,2325,1.5,6,0.6133,0.6200,0.475524476,143,122,0.3766,0.3807,0.57,0.57,
fc062_mmax,50,75,62,3405,1.5,144,0.8267,0.9080,0.475524476,143,122,0.5076,0.5576,0.31,0.31,
fc062_seqag,50,75,2,421,1.5,16,0.0267,0.1123,0.475524476,143,122,0.0164,0.0689,1.33,1.33,
fc063_birthday2,50,50,1,838,1.5,,0.0200,0.3352,0.438202247,89,76,0.0132,0.2205,,,
fc063_foot,50,50,7,1519,1.5,,0.1400,0.6076,0.438202247,89,76,0.0921,0.3997,,,
fc063_lines,50,50,2,170,1.5,,0.0400,0.0680,0.438202247,89,76,0.0263,0.0447,,,
fc063_quadrant,50,50,47,2350,1.5,,0.9400,0.9400,0.438202247,89,76,0.6183,0.6183,,,
fc063_xxx,50,50,9,480,1.5,,0.1800,0.1920,0.438202247,89,76,0.1184,0.1263,,,
fc065_city,50,39,4,236,1.5,,0.1026,0.1210,0.566666667,90,77,0.0520,0.0614,,,
fc065_formation,50,39,8,649,1.5,,0.2051,0.3328,0.566666667,90,77,0.1041,0.1689,,,
fc065_gam,50,39,2,145,1.5,,0.0513,0.0744,0.566666667,90,77,0.0260,0.0377,,,
fc065_gcd,50,39,27,1540,1.5,,0.6923,0.7897,0.566666667,90,77,0.3512,0.4007,,,
fc065_palind,50,39,10,912,1.5,,0.2564,0.4677,0.566666667,90,77,0.1301,0.2373,,,
fc066_binary,50,42,1,1277,1.5,2,0.0238,0.6081,0.528089888,89,76,0.0132,0.3360,0.8,,
fc066_gcdquery,50,42,2,549,1.5,12,0.0476,0.2614,0.528089888,89,76,0.0263,0.1444,0.8,,
fc066_maxand,50,42,9,659,1.5,7,0.2143,0.3138,0.528089888,89,76,0.1184,0.1734,0.8,,
fc066_moveaway,50,42,0,79,1.5,0,0.0000,0.0376,0.528089888,89,76,0.0000,0.0208,0.8,,
fc066_sumfib,50,42,4,451,1.5,3,0.0952,0.2148,0.528089888,89,76,0.0526,0.1187,0.8,,
fc067_dike,50,41,35,1830,1.5,65,0.8537,0.8927,0.5,82,70,0.4997,0.5226,0.8,,
fc067_gifts,50,41,1,172,1.5,0,0.0244,0.0839,0.5,82,70,0.0143,0.0491,0.8,,
fc067_minpath,50,41,18,1569,1.5,19,0.4390,0.7654,0.5,82,70,0.2570,0.4481,0.8,,
fc067_ricecake,50,41,0,14,1.5,0,0.0000,0.0068,0.5,82,70,0.0000,0.0040,0.8,,
fc067_sixstr,50,41,27,1516,1.5,3,0.6585,0.7395,0.5,82,70,0.3855,0.4329,0.8,,
fc068_alcohol,50,66,42,2572,1.5,79,0.6364,0.7794,0.480314961,127,108,0.3872,0.4742,0.8,,
fc068_build,50,66,20,1394,1.5,19,0.3030,0.4224,0.480314961,127,108,0.1844,0.2570,0.8,,
fc068_candy,50,66,2,674,1.5,5,0.0303,0.2042,0.480314961,127,108,0.0184,0.1243,0.8,,
fc068_seqab,50,66,15,1675,1.5,26,0.2273,0.5076,0.480314961,127,108,0.1383,0.3088,0.8,,
fc069_bacterium,50,55,5,582,1.5,6,0.0909,0.2116,0.670658683,167,143,0.0351,0.0816,0.8,,
fc069_calsum,50,55,34,1832,1.5,85,0.6182,0.6662,0.670658683,167,143,0.2384,0.2569,0.8,,
fc069_numberwars,50,55,14,1041,1.5,3,0.2545,0.3785,0.670658683,167,143,0.0982,0.1460,0.8,,
fc069_trafficjam,50,55,2,251,1.5,3,0.0364,0.0913,0.670658683,167,143,0.0140,0.0352,0.8,,
fc070_bunker,50,84,11,550,1.5,8,0.1310,0.1310,0.424657534,146,125,0.0882,0.0882,1.3,1.3,
fc070_countab,50,84,3,150,1.5,13,0.0357,0.0357,0.424657534,146,125,0.0241,0.0241,1.45,1.45,
fc070_function,50,84,73,3850,1.5,213,0.8690,0.9167,0.424657534,146,125,0.5854,0.6175,0.31,0.31,
fc070_kjump,50,84,67,3398,1.5,70,0.7976,0.8090,0.424657534,146,125,0.5373,0.5450,0.33,0.33,
fc070_taskset,50,84,47,2990,1.5,88,0.5595,0.7119,0.424657534,146,125,0.3769,0.4796,0.43,0.43,
fc072_chpal,50,67,51,2586,1.5,74,0.7612,0.7719,0.43220339,118,101,0.5060,0.5132,0.34,0.34,
